SampleID,Set
14-KABF69_S518,MRD
13-KABF68_S517,MRD
7-ZTKL04A_S95023-S97023,MRD
7-MQAAAA51_S550,MRD
10-HMAAAA04_S514,MRD
8-LABV93_S512,MRD
16-MUGAAA65_S559,MRD
12-QHAA17_S516,MRD
9-LABJ97_S513,MRD
8-HMAAAA09_S95041-S97041,MRD
1-HMAAAA02_S544,MRD
15-MUAAAA11_S558,MRD
11-UHAA30_S554,MRD
15-ZTKL18A_S636,MRD
4-QCAE86_S625,MRD
7-QCAE60_S511,MRD
9-HMAAAA19_S95042-S97042,MRD
18-KABH35_S522,MRD
8-MDAAAA16_S629,MRD
2-MUGAAA56_S623,MRD
3-YCAB67_S624,MRD
6-ZTKL03A_S95022-S97022,MRD
13-ZTKL17A_S634,MRD
11-QCAA59_S515,MRD
5-QCAC36_S548,MRD
1-QCAB27_S622,MRD
7-HMGAAA04_S628,MRD
2-MQGAAA71_S545,MRD
11-ZIL104A_S632,MRD
5-QHAA88_S626,MRD
12-MUGAAA12_S555,MRD
17-KABG66_S521,MRD
10-QHAA63_S553,MRD
4-MUGAAA53_S95011-S97011,MRD
9-ZIL102A_S630,MRD
16-KABG60_S520,MRD
16-ZTKL19A_S637,MRD
5-ZTKL06A_S95019-S97019,MRD
6-MDGAAA31_S627,MRD
14-QCAF27_S557,MRD
8-QHAC16_S551,MRD
6-MYCAAA01_S549,MRD
14-ZTKL07B_S635,MRD
9-MUGAAA21_S552,MRD
12-ZTKL06B_S633,MRD
4-QNAA01_S547,MRD
3-MDGAAA18_S546,MRD
10-HMAAAA28_S95044-S97044,MRD
13-MUGAAA68_S556,MRD
10-ZIL103A_S631,MRD
15-KABF76_S519,MRD
3-ZTKL09B_S408,MRD
15-ZMB581A_S404,MRD
13-ZMH056B_S402,MRD
16-ZMG117B_S465,MRD
5-ZMC006B_S394,MRD
2-MUAAAA44_S391,MRD
3-ZMC005B_S392,MRD
4-HAGAAA18_S629,MRD
7-ZIL105A_S412,MRD
9-ZMH047A_S398,MRD
11-ZNAB08A_S416,MRD
11-ZMH047D_S400,MRD
7-ZMC046A_S396,MRD
1-ZMB602A_S406,MRD
6-ZMC071A_S561,MRD
3-HHAA22_S628,MRD
3-MQAAAA19_S425,MRD
7-ZMC057_S431,MRD
2-HAAAAA27_S627,MRD
5-ZTKL11B_S410,MRD
1-YCAB14_S425,MRD
4-ZTKL10B_S409,MRD
10-ZMH047B_S399,MRD
14-ZMH056D_S403,MRD
12-ZMH056A_S401,MRD
6-HAGAAA11_S631,MRD
5-HMAAAA27_S630,MRD
1-HAAA31_S556,MRD
8-ZMC046B_S397,MRD
9-MDGAAB39_S414,MRD
12-ZNAB09A_S417,MRD
16-ZMB596A_S405,MRD
6-MDGAAA16_S426,MRD
1-ZMC031_S626,MRD
8-ZIL106A_S413,MRD
1-QCAD47_S390,MRD
6-ZMC006C_S395,MRD
15-MDGAAB43_S420,MRD
4-HMAA08_S559,MRD
2-YCAB06_S426,MRD
14-MUGAAA67_S419,MRD
16-MDGAAB45_S421,MRD
8-ZMG093_S432,MRD
2-ZTKL05B_S407,MRD
6-ZTKL12B_S411,MRD
2-HMAAAA16_S557,MRD
10-ZNAB06A_S415,MRD
8-ZMC005_S633,MRD
4-ZMC006A_S393,MRD
13-UHAA49_S418,MRD
12-UCAA26_S728,MRD
2-Q3AA08_S718,MRD
3-QCAA74_S452,MRD
1-MQCAAA48_S717,MRD
1-ZMG058A_S797,MRD
10-ZMG086A_S459,MRD
3-ZMG103A_S799,MRD
2-ZMG085A_S798,MRD
14-ZMG102C_S463,MRD
3-U3AA04_S719,MRD
2-YCAA77_S451,MRD
15-HMAAAA35_S811,MRD
9-QCAA02_S805,MRD
11-ZMG086B_S460,MRD
8-HMAA03_S724,MRD
4-HAGAAA15_S800,MRD
14-MUGAAA46_S730,MRD
15-QHAB92_S731,MRD
13-ZMG102B_S462,MRD
13-MECAAA15_S809,MRD
4-ZMG001A_S720,MRD
5-QCAA94_S454,MRD
12-MDGAAA24_S808,MRD
6-HMAA06_S802,MRD
7-ZMG067B_S456,MRD
14-MDGAAA27_S810,MRD
8-ZMG068A_S457,MRD
1-QCAA40_S450,MRD
11-QCAB64_S727,MRD
4-YCAB01_S453,MRD
22-KABG35_S526,MRD
5-MDGAAA07_S801,MRD
16-MUGAAA02_S732,MRD
7-HMGAAA08_S723,MRD
9-ZXG01_S725,MRD
11-HMGAAA02_S807,MRD
8-HMAA04_S804,MRD
6-ZMG067A_S455,MRD
13-QHAA80_S729,MRD
9-ZMG068B_S458,MRD
10-HMAA02_S806,MRD
7-MDAAAA15_S803,MRD
5-ZMG002A_S721,MRD
16-YCAA54_S812,MRD
21-KABG32_S525,MRD
20-KABH63_S524,MRD
15-ZMG117A_S464,MRD
12-ZMG102A_S461,MRD
10-HMGAAA06_S726,MRD
19-KABH62_S523,MRD
6-ZMG044A_S722,MRD
9-MDGAAA68_S634,MRD
16-KABB31_S641,MRD
3-KABF79_S284,MRD
15-MDGAAB37_S296,MRD
6-MDGAAB03_S631,MRD
11-KABD31_S636,MRD
14-KABD33_S639,MRD
5-MDGAAA32_S630,MRD
6-MDGAAA20_S287,MRD
13-KABD43_S638,MRD
13-UCAA07_S343,MRD
3-MDAAAA42_S628,MRD
2-KABG28_S283,MRD
12-QHAA72_S342,MRD
10-MDGAAB14_S291,MRD
2-KABG46_S799,MRD
7-QCAA48_S337,MRD
2-UHAA07_S627,MRD
14-MDGAAA55_S295,MRD
17-MDGAAA90_S347,MRD
4-KABG29_S285,MRD
16-MDGAAB13_S297,MRD
16-MDGAAA41_S346,MRD
8-MDGAAB68_S289,MRD
1-KABG53_S331,MRD
11-MDGAAA73_S292,MRD
7-MDGAAB74_S288,MRD
4-MDGAAA33_S629,MRD
14-UCAA44_S344,MRD
4-KABG59_S334,MRD
3-KABG73_S333,MRD
6-QHAA48_S803,MRD
9-QCAA64_S339,MRD
5-QCAB77_S335,MRD
6-Q3AA11_S336,MRD
1-KABG44_S282,MRD
7-MDGAAB70_S632,MRD
5-KABG68_S286,MRD
10-QHAB01_S340,MRD
15-MDGAAB09_S345,MRD
8-MDGAAB36_S633,MRD
11-MLAA20_S341,MRD
7-MLAA82_S804,MRD
8-QCAA33_S338,MRD
15-KABB22_S640,MRD
9-MDGAAB48_S290,MRD
1-KABG81_S798,MRD
3-KABG71_S800,MRD
5-QCAD51_S802,MRD
2-KABG67_S332,MRD
10-KABF92_S635,MRD
4-KABG84_S801,MRD
12-KABF19_S637,MRD
8-QCAE78_S805,MRD
1-ZNAB01A_S626,MRD
14-ZNAB03B_S621,MRD
3-ZTKL08B_S610,MRD
11-ZNAB07A_S618,MRD
10-ZNAB05A_S617,MRD
1-MDBAAA11_S608,MRD
2-HMDAAA08_S609,MRD
15-ZNAB04B_S622,MRD
6-ZTKL21A_S613,MRD
4-ZTKL13B_S611,MRD
8-ZNAB02A_S615,MRD
13-ZNAB02B_S620,MRD
9-ZNAB03A_S616,MRD
12-ZNAB01B_S619,MRD
7-ZTKL22A_S614,MRD
16-ZNAB05B_S623,MRD
5-ZTKL20A_S612,MRD
1-ZTKL02A_S648,MRD
9-UCAA46_S609,MRD
2-MEBAAA02_S602,MRD
7-UCAA16_S621,MRD
7-UCAA21_S607,MRD
9-MUCAAA04_S716,MRD
4-HMAA07_S604,MRD
3-UCAA23_S659,MRD
4-MUGAAA10_S711,MRD
9-UCAA53_S623,MRD
5-KABF22_S661,MRD
2-UCAA82_S709,MRD
7-ZTKL12A_S654,MRD
6-QCAA27_S620,MRD
2-UCAA04_S658,MRD
6-KABD34_S713,MRD
7-ZTKL05A_S663,MRD
2-UCAA22_S616,MRD
1-QCAA30_S615,MRD
10-UCAB01_S624,MRD
1-MDGAAA26_S601,MRD
2-ZTKL03A_S649,MRD
6-ZTKL01A_S662,MRD
4-UCAA49_S660,MRD
5-QHAB28_S712,MRD
10-UCAA78_S610,MRD
1-MLAA29_S657,MRD
3-UCAA34_S617,MRD
10-ZTKL06A_S666,MRD
6-MLAA85_S606,MRD
5-ZTKL09A_S652,MRD
8-UCAA31_S622,MRD
4-ZTKL08A_S651,MRD
5-MDAAAA03_S605,MRD
1-HMAAAA18_S541,MRD
6-ZTKL11A_S653,MRD
11-ZTKL10A_S667,MRD
3-ZTKL04A_S650,MRD
8-ZTKL13A_S655,MRD
8-ZTKL07A_S664,MRD
4-QHAB51_S618,MRD
1-QCAA50_S708,MRD
5-MUGAAA42_S619,MRD
8-HACAAA01_S715,MRD
3-UHAA52_S710,MRD
3-QCAB92_S603,MRD
8-KABB36_S608,MRD
2-HMAAAA13_S542,MRD
9-QCAA56_S665,MRD
11-MUGAAA53_S611,MRD
7-MUGAAA38_S714,MRD
5-MQAAAA18_S429,MRD
4-MQCAAA03_S428,MRD
5-ZMC040A_S560,MRD
9-KABF13_S456,MRD
3-MECAAA20_S451,MRD
6-ZTKL01B_S593,MRD
1-QCAE05_S449,MRD
9-KABF90_S596,MRD
4-ZMH062A_S452,MRD
6-KABE42_S453,MRD
16-KABB91_S603,MRD
4-KABB88_S451,MRD
4-QCAD68_S637,MRD
5-HMAAAA09_S545,MRD
3-QCAD83_S636,MRD
5-KABA97_S452,MRD
3-HMAAAA30_S543,MRD
12-KABF65_S459,MRD
13-KABC54_S600,MRD
2-ZTKL16A_S589,MRD
11-KABF33_S458,MRD
8-ZTKL04B_S595,MRD
15-KABD50_S602,MRD
9-HMAAAA05_S642,MRD
5-MEGAAA06_S638,MRD
10-KABF18_S457,MRD
11-KABF96_S598,MRD
16-ZMH062B_S364,MRD
7-HMAAAA23_S547,MRD
1-KABF53_S448,MRD
3-KABF62_S450,MRD
14-KABB30_S601,MRD
8-HHAA10_S641,MRD
2-MEGAAA07_S635,MRD
12-QHAA87_S599,MRD
2-KABF57_S449,MRD
3-ZIL01A_S590,MRD
7-ZTKL03B_S594,MRD
13-MDCAAA11_S460,MRD
2-QCAF61_S450,MRD
1-ZTKL14A_S588,MRD
8-KABF11_S455,MRD
5-ZMH054A_S453,MRD
4-QCAC99_S544,MRD
4-KABB98_S591,MRD
8-HMAAAA28_S548,MRD
7-KABE82_S454,MRD
6-HMAAAA19_S546,MRD
5-ZTKL15A_S592,MRD
10-KABG07_S597,MRD
7-QCAB83_S640,MRD
1-MECAAA17_S634,MRD
6-MDGAAA36_S639,MRD
7-ZMH054C_S455,MRD
16-ZMH021C_S464,MRD
9-ZMH003B_S457,MRD
5-QHAA99_S110,MRD
2-MDAAAA01_S350,MRD
13-ZMH010C_S461,MRD
8-MECAAA03_S113,MRD
1-MLAA85_S95006-S97006,MRD
1-MQCAAA02_S349,MRD
8-ZMH003A_S456,MRD
8-MECAAA13_S356,MRD
4-ZXG04_S716,MRD
7-HMGAAA01_S719,MRD
2-ZMG007A_S714,MRD
5-MDGAAA17_S353,MRD
14-ZMH021A_S462,MRD
8-ZMG107A_S720,MRD
9-HHAA01_S721,MRD
12-ZMH010B_S460,MRD
6-ZMH054B_S454,MRD
15-ZMH021B_S463,MRD
9-Q3AA05_S357,MRD
10-Q3AA48_S722,MRD
2-UCAA21_S95007-S97007,MRD
1-HAAA35_S106,MRD
11-MUGAAA01_S116,MRD
13-U3AA05_S361,MRD
9-MECAAA19_S114,MRD
6-QHAB49_S111,MRD
2-Q3AA09_S107,MRD
3-Q3AA13_S108,MRD
4-Q3AA14_S352,MRD
10-UHAA47_S115,MRD
3-MQCAAA59_S351,MRD
10-ZMH003C_S458,MRD
3-UCAA78_S95010-S97010,MRD
7-MQCAAA20_S355,MRD
12-Q3AA19_S360,MRD
10-U3AA02_S358,MRD
12-MUGAAA57_S117,MRD
11-MQCAAA05_S359,MRD
14-ZMB576A_S362,MRD
3-ZMG094A_S715,MRD
1-ZXG27_S713,MRD
11-ZMH010A_S459,MRD
5-ZXG07_S717,MRD
6-MDAAAA13_S354,MRD
6-MDGAAA10_S718,MRD
7-HMAAAA06_S112,MRD
4-QHAA62_S109,MRD
15-ZMB576B_S363,MRD
7-ZMG013A_S121,MRD
9-QCAF79_S123,MRD
16-HAAAAA17_S130,MRD
1-HAAA34_S115,MRD
2-HAAA32_S116,MRD
3-HAGAAA16_S117,MRD
14-HAGAAA04_S128,MRD
4-ZMC065A_S118,MRD
10-MQGAAA01_S124,MRD
12-HAAAAA01_S126,MRD
6-ZMC079A_S120,MRD
5-ZMC072A_S119,MRD
11-HMGAAA07_S125,MRD
15-HACAAA03_S129,MRD
8-ZMC017A_S122,MRD
5-YCAB67_S261,MRD
6-ZNAB04A_S262,MRD
3-UCAB01_S259,MRD
4-HACAAA01_S260,MRD
7-ZNAB06B_S263,MRD
8-ZNAB07B_S264,MRD
10-ZNAB02C_S266,MRD
9-ZNAB08B_S265,MRD
2-QHAB51_S258,MRD
1-HMAAAA05_S257,MRD
